"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*CAMPBELL RIVER A","BC"," 49°57'07.000"" N","125°16'23.000"" W","108.8 m","1021261","","YBL"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"> 20 °C","0.0","0.0","0.0","1.9","6.6","12.8","23.0","23.7","13.4","1.3","0.0","0.0","82.6","A"
"> 30 °C","0.0","0.0","0.0","0.0","0.15","0.96","2.2","1.6","0.15","0.0","0.0","0.0","5.0","A"
"> 35 °C","0.0","0.0","0.0","0.0","0.0","0.04","0.04","0.15","0.0","0.0","0.0","0.0","0.23","A"
"Days with Minimum Temperature"
"> 0 °C","14.0","12.4","16.1","22.4","29.7","30.0","31.0","31.0","29.4","25.7","18.0","13.4","273.2","A"
"<= 2 °C","22.6","21.3","20.9","12.7","3.6","0.19","0.0","0.0","1.5","10.5","17.8","24.0","134.9","A"
"<= 0 °C","17.0","15.9","14.9","7.6","1.3","0.0","0.0","0.0","0.54","5.3","12.0","17.6","92.0","A"
"< -2 °C","9.4","9.2","6.2","2.0","0.04","0.0","0.0","0.0","0.0","1.9","6.1","9.9","44.6","A"
"< -10 °C","1.5","0.70","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.58","0.92","3.8","A"
"< -20 °C","0.07","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.04","0.0","0.11","A"
"< - 30 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"Days with Rainfall"
">= 0.2 mm","18.7","15.0","18.9","17.1","15.5","13.7","9.4","9.3","9.7","18.4","21.0","19.3","185.9","A"
">= 5 mm","10.4","7.2","7.7","6.0","4.9","4.7","2.8","2.7","3.5","8.6","11.6","10.6","80.8","A"
">= 10 mm","6.8","4.7","3.9","2.8","1.9","1.8","1.2","1.3","1.8","5.5","7.7","6.8","46.1","A"
">= 25 mm","2.2","1.3","1.1","0.38","0.12","0.08","0.04","0.15","0.23","1.7","2.5","2.5","12.4","A"
"Days With Snowfall"
">= 0.2 cm","4.3","3.0","2.7","0.35","0.0","0.0","0.0","0.0","0.0","0.12","1.8","4.1","16.3","A"
">= 5 cm","1.6","1.1","0.65","0.04","0.0","0.0","0.0","0.0","0.0","0.04","0.65","1.4","5.5","A"
">= 10 cm","0.74","0.52","0.31","0.0","0.0","0.0","0.0","0.0","0.0","0.04","0.35","0.80","2.8","A"
">= 25 cm","0.15","0.04","0.12","0.0","0.0","0.0","0.0","0.0","0.0","0.04","0.08","0.08","0.51","A"
"Days with Precipitation"
">= 0.2 mm","20.8","16.4","19.7","17.1","15.5","13.7","9.4","9.3","9.7","18.4","21.6","21.2","192.8","A"
">= 5 mm","11.6","8.1","8.1","6.2","4.9","4.7","2.8","2.7","3.5","8.7","12.1","11.7","85.1","A"
">= 10 mm","7.6","5.3","4.3","2.8","1.9","1.8","1.2","1.3","1.8","5.5","8.0","7.8","49.2","A"
">= 25 mm","2.5","1.4","1.2","0.38","0.12","0.08","0.04","0.15","0.23","1.8","2.8","2.7","13.4","A"
"Days with Snow Depth"
">= 1 cm","5.5","4.4","2.1","0.04","0.0","0.0","0.0","0.0","0.0","0.0","2.0","4.8","18.9","C"
">= 5 cm","3.9","3.3","1.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.5","2.5","12.3","C"
">= 10 cm","3.2","2.2","0.81","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.73","1.4","8.3","C"
">= 20 cm","2.4","0.58","0.23","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.27","0.40","3.9","C"
"Wind"
"Maximum Hourly Speed (km/h)","63.0","61.0","63.0","65.0","46.0","56.0","46.0","46.0","54.0","65.0","72.0","74.0","74.0",""
"Date (yyyy/dd)","2006/01","1999/21","1999/28","2010/02","1982/25","1986/30","1999/13","1980/17","2010/24","1984/12","2007/12","2002/15","2002/15"," "
"Direction of Maximum Hourly Speed","SE","SE","SE","SE","NW","E","N","NW","SE","SE","SE","SE","SE",""
"Degree Days"
"Above 24 °C","0.0","0.0","0.0","0.0","0.0","0.1","0.5","0.4","0.0","0.0","0.0","0.0","0.9","A"
"Above 18 °C","0.0","0.0","0.0","0.0","0.9","8.1","24.2","22.8","2.5","0.0","0.0","0.0","58.4","A"
"Above 15 °C","0.0","0.0","0.0","0.3","6.9","29.6","78.6","76.3","18.6","0.3","0.0","0.0","210.4","A"
"Above 10 °C","0.0","0.0","0.4","12.5","67.0","141.8","225.8","223.4","115.8","17.2","0.4","0.1","804.4","A"
"Above 5 °C","11.8","12.4","33.6","95.0","204.7","290.7","380.8","378.4","262.4","115.5","28.9","7.5","1821.7","A"
"Above 0 °C","95.0","100.3","163.1","240.5","359.6","440.7","535.8","533.4","412.4","265.9","138.9","82.0","3367.6","A"
"Below 0 °C","20.6","8.2","1.2","0.0","0.0","0.0","0.0","0.0","0.0","0.2","7.9","19.0","57.0","A"
"Below 5 °C","92.3","61.3","26.7","4.5","0.1","0.0","0.0","0.0","0.0","4.8","47.9","99.4","337.1","A"
"Below 10 °C","235.6","189.9","148.6","72.0","17.4","1.1","0.0","0.0","3.3","61.6","169.4","247.0","1145.8","A"
"Below 15 °C","390.6","330.8","303.1","209.8","112.2","38.8","7.8","7.9","56.1","199.6","319.0","401.9","2377.7","A"
"Below 18 °C","483.6","415.4","396.1","299.6","199.3","107.4","46.3","47.4","130.0","292.3","409.0","494.9","3321.3","A"
"Humidex"
"Extreme Humidex","13.9","16.1","18.6","28.0","32.4","35.0","40.9","40.0","33.4","27.7","17.9","15.7","",""
"Date (yyyy/dd)","2003/26","1995/08","1979/22","1998/30","2005/28","1987/29","2009/28","1981/10","2003/03","1992/01","1980/04","2005/24",""," "
"Wind Chill"
"Extreme Wind Chill","-29.7","-23.4","-15.5","-7.6","-3.9","0.0","0.0","0.0","-4.9","-11.8","-26.1","-24.4","",""
"Date (yyyy/dd)","1982/05","1989/01","1989/02","2007/02","1999/07","1979/01","1979/01","1979/01","1983/28","1984/31","1985/26","1983/24",""," "
"Humidity"
"Average Relative Humidity - 0600LST (%)","93.0","92.4","91.4","90.2","86.5","83.7","83.8","87.8","91.5","93.3","93.0","92.6","89.9","A"
"Average Relative Humidity - 1500LST (%)","84.9","75.1","67.8","59.6","57.2","57.6","54.4","55.1","59.1","74.0","83.3","86.3","67.9","A"

"1981 to 2010 Canadian Climate Normals station data (Frost-Free)"
"","Frost-Free:","Code"
"Average Date of Last Spring Frost","April     28","C"
"Average Date of First Fall Frost","October   09","C"
"Average Length of Frost-Free Period","163 Days","C"
"Probability of last temperature in spring of 0 °C or lower on or after indicated dates","10%","25%","33%","50%","66%","75%","90%"
"Date","May 28","May 15","May 10","May 02","Apr 24","Apr 20","Apr 09"
"Probability of first temperature in fall of 0 °C or lower on or after indicated dates","10%","25%","33%","50%","66%","75%","90%"
"Date","Sep 19","Sep 26","Sep 28","Oct 07","Oct 11","Oct 19","Oct 30"
"Probability of frost-free period equal to or less than indicated period (Days)","10%","25%","33%","50%","66%","75%","90%"
"Days","116","138","144","154","171","182","195"
