station_name,lat,lng,elevation,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12
CAMPBELL RIVER A,49.95,-125.27,108.80,309.40,204.60,146.40,144.50,83.60,46.00,0.60,29.00,96.20,171.00,214.40,458.00,215.20,214.20,210.80,54.80,97.40,39.20,46.40,8.20,95.80,99.20,183.80,113.00,205.80,169.00,188.30,118.80,55.40,112.80,22.00,6.40,21.60,243.00,216.80,284.10,118.80,132.60,83.20,75.70,77.10,55.80,8.60,68.20,114.20,18.00,137.20,104.70,94.40,126.60,163.80,69.60,55.20,13.90,44.40,20.20,71.60,244.40,151.20,180.00
CAMPBELL RIVER A NORMALS,49.95,-125.27,108.80,217.50,149.50,140.00,92.10,68.40,62.90,39.40,44.60,55.20,162.20,231.90,225.70,217.50,149.50,140.00,92.10,68.40,62.90,39.40,44.60,55.20,162.20,231.90,225.70,217.50,149.50,140.00,92.10,68.40,62.90,39.40,44.60,55.20,162.20,231.90,225.70,217.50,149.50,140.00,92.10,68.40,62.90,39.40,44.60,55.20,162.20,231.90,225.70,217.50,149.50,140.00,92.10,68.40,62.90,39.40,44.60,55.20,162.20,231.90,225.70
CASTLEGAR A,49.30,-117.63,495.60,68.00,33.30,55.50,55.10,81.30,72.60,14.80,20.20,57.80,57.00,77.80,80.40,73.00,36.80,102.90,47.10,70.20,87.40,40.60,3.20,6.60,42.00,89.00,42.70,49.40,37.40,145.60,69.90,47.40,227.70,117.10,2.00,13.60,86.00,162.90,110.40,38.20,25.70,41.10,58.10,112.30,107.20,18.00,24.10,91.40,7.40,84.60,42.40,42.50,47.20,87.30,63.40,69.30,98.00,11.10,42.20,26.10,90.10,96.30,95.30
CASTLEGAR A NORMALS,49.30,-117.63,495.60,75.50,51.20,62.90,59.30,70.30,72.30,48.10,30.40,42.40,51.30,96.70,90.30,75.50,51.20,62.90,59.30,70.30,72.30,48.10,30.40,42.40,51.30,96.70,90.30,75.50,51.20,62.90,59.30,70.30,72.30,48.10,30.40,42.40,51.30,96.70,90.30,75.50,51.20,62.90,59.30,70.30,72.30,48.10,30.40,42.40,51.30,96.70,90.30,75.50,51.20,62.90,59.30,70.30,72.30,48.10,30.40,42.40,51.30,96.70,90.30
COMOX A,49.72,-124.90,25.60,241.40,132.80,125.20,97.00,75.20,44.00,2.40,31.00,65.80,103.00,208.20,319.40,119.40,127.60,200.40,31.60,67.20,20.90,33.80,3.60,84.90,62.60,159.00,75.60,184.50,124.80,131.00,93.20,26.00,77.40,12.80,5.60,7.40,178.20,205.00,281.20,84.30,87.10,81.20,43.90,64.00,49.20,2.20,53.80,116.00,15.00,140.00,61.80,79.60,167.40,149.20,54.80,47.60,16.60,36.40,20.40,47.60,238.00,102.80,241.50
COMOX A NORMALS,49.72,-124.90,25.60,171.90,114.30,105.70,64.60,45.60,42.80,26.70,29.20,41.80,122.80,200.50,187.90,171.90,114.30,105.70,64.60,45.60,42.80,26.70,29.20,41.80,122.80,200.50,187.90,171.90,114.30,105.70,64.60,45.60,42.80,26.70,29.20,41.80,122.80,200.50,187.90,171.90,114.30,105.70,64.60,45.60,42.80,26.70,29.20,41.80,122.80,200.50,187.90,171.90,114.30,105.70,64.60,45.60,42.80,26.70,29.20,41.80,122.80,200.50,187.90
CRANBROOK A,49.61,-115.78,940.00,29.40,3.60,13.40,27.00,48.20,78.80,30.80,45.80,42.40,16.40,46.30,29.60,38.80,15.40,24.40,46.40,45.60,56.40,28.60,32.00,14.60,47.90,57.10,17.00,23.40,22.80,83.00,24.00,9.80,123.00,43.80,10.60,21.60,57.20,14.80,34.20,19.10,0.00,16.40,14.60,51.20,95.00,9.40,50.40,87.40,16.80,39.60,22.00,26.80,24.60,45.40,24.60,59.00,26.80,10.00,50.60,60.80,29.40,53.60,25.50
CRANBROOK A NORMALS,49.61,-115.78,940.00,25.50,18.90,22.20,24.60,46.10,62.20,38.30,28.00,31.30,20.10,35.30,32.70,25.50,18.90,22.20,24.60,46.10,62.20,38.30,28.00,31.30,20.10,35.30,32.70,25.50,18.90,22.20,24.60,46.10,62.20,38.30,28.00,31.30,20.10,35.30,32.70,25.50,18.90,22.20,24.60,46.10,62.20,38.30,28.00,31.30,20.10,35.30,32.70,25.50,18.90,22.20,24.60,46.10,62.20,38.30,28.00,31.30,20.10,35.30,32.70
DARFIELD,51.30,-120.18,412.00,8.70,25.80,23.00,15.00,46.20,37.40,21.60,36.80,61.80,22.00,41.40,23.00,60.20,31.00,36.70,15.10,84.80,60.60,62.60,5.20,10.40,31.30,30.40,24.60,33.20,27.00,52.80,33.00,31.60,104.80,139.80,9.20,9.00,34.40,46.30,70.80,36.00,27.80,13.60,36.20,44.60,57.60,26.00,33.60,78.60,18.80,79.80,56.70,28.60,14.60,28.00,31.80,91.60,34.40,40.80,46.60,23.20,39.00,50.80,43.00
DARFIELD NORMALS,51.30,-120.18,412.00,42.80,22.80,25.00,28.60,45.60,54.10,52.10,41.80,35.20,40.00,51.40,45.90,42.80,22.80,25.00,28.60,45.60,54.10,52.10,41.80,35.20,40.00,51.40,45.90,42.80,22.80,25.00,28.60,45.60,54.10,52.10,41.80,35.20,40.00,51.40,45.90,42.80,22.80,25.00,28.60,45.60,54.10,52.10,41.80,35.20,40.00,51.40,45.90,42.80,22.80,25.00,28.60,45.60,54.10,52.10,41.80,35.20,40.00,51.40,45.90
DRYAD POINT,52.19,-128.11,3.50,175.60,147.20,265.20,179.80,90.20,135.00,26.40,170.20,301.80,449.60,236.80,234.30,379.00,290.60,201.20,181.20,131.00,104.40,232.60,140.20,394.20,304.80,356.40,439.10,486.80,154.50,297.00,156.60,177.60,230.80,66.20,104.80,124.40,220.00,267.00,298.40,192.20,324.40,183.20,185.00,146.80,164.00,27.60,202.40,187.20,177.00,267.00,354.20,198.20,126.10,203.60,292.20,139.60,171.60,122.80,63.30,100.40,493.40,461.80,229.80
DRYAD POINT NORMALS,52.19,-128.11,3.50,279.70,210.50,209.20,203.30,156.90,143.30,117.10,145.40,208.00,333.50,347.20,274.50,279.70,210.50,209.20,203.30,156.90,143.30,117.10,145.40,208.00,333.50,347.20,274.50,279.70,210.50,209.20,203.30,156.90,143.30,117.10,145.40,208.00,333.50,347.20,274.50,279.70,210.50,209.20,203.30,156.90,143.30,117.10,145.40,208.00,333.50,347.20,274.50,279.70,210.50,209.20,203.30,156.90,143.30,117.10,145.40,208.00,333.50,347.20,274.50
DUNCAN LAKE DAM,50.24,-116.97,548.60,63.90,22.00,45.90,31.10,48.50,57.80,25.50,41.40,74.40,30.60,131.90,69.00,171.10,98.40,77.80,57.20,35.80,85.10,81.70,15.60,30.50,68.00,105.60,36.40,96.90,50.20,130.50,71.90,31.40,179.80,27.20,16.10,22.60,153.10,135.50,74.00,59.20,22.20,101.70,48.70,58.40,100.90,15.20,69.50,158.90,19.40,81.80,87.60,76.50,78.40,105.40,46.60,64.30,52.40,19.00,27.90,47.80,94.60,106.00,78.40
DUNCAN LAKE DAM NORMALS,50.24,-116.97,548.60,93.10,56.20,55.50,52.70,57.60,70.70,55.90,52.10,53.20,66.20,102.20,91.60,93.10,56.20,55.50,52.70,57.60,70.70,55.90,52.10,53.20,66.20,102.20,91.60,93.10,56.20,55.50,52.70,57.60,70.70,55.90,52.10,53.20,66.20,102.20,91.60,93.10,56.20,55.50,52.70,57.60,70.70,55.90,52.10,53.20,66.20,102.20,91.60,93.10,56.20,55.50,52.70,57.60,70.70,55.90,52.10,53.20,66.20,102.20,91.60
ESTEVAN POINT,49.38,-126.54,5.80,425.00,236.40,354.20,293.80,139.60,106.60,4.20,56.60,254.20,433.20,362.20,497.40,362.00,316.30,338.80,262.80,194.20,67.10,87.00,72.80,295.80,277.40,421.80,333.00,738.50,330.00,323.60,216.40,134.60,204.40,62.80,45.00,36.20,398.50,450.00,438.20,201.80,430.80,278.60,264.20,166.00,114.00,2.20,154.70,214.90,83.00,266.00,190.80,233.00,229.60,360.80,290.20,65.50,95.10,104.20,12.20,117.00,559.60,354.00,343.20
ESTEVAN POINT NORMALS,49.38,-126.54,5.80,455.50,313.60,303.00,273.10,163.00,143.80,73.70,97.60,133.50,330.50,468.00,429.20,455.50,313.60,303.00,273.10,163.00,143.80,73.70,97.60,133.50,330.50,468.00,429.20,455.50,313.60,303.00,273.10,163.00,143.80,73.70,97.60,133.50,330.50,468.00,429.20,455.50,313.60,303.00,273.10,163.00,143.80,73.70,97.60,133.50,330.50,468.00,429.20,455.50,313.60,303.00,273.10,163.00,143.80,73.70,97.60,133.50,330.50,468.00,429.20
FORT NELSON A,58.84,-122.60,381.90,23.40,7.80,24.40,4.10,41.10,38.80,58.40,107.90,44.00,7.80,17.60,46.20,24.20,12.60,23.20,7.00,68.20,119.70,58.80,88.20,19.60,13.70,34.80,13.20,22.00,7.90,42.90,53.10,39.60,131.20,28.00,46.20,1.20,41.20,35.80,21.00,29.80,6.00,5.20,27.00,3.40,46.10,82.40,44.20,58.90,22.10,30.90,106.20,18.40,11.30,4.20,32.60,12.20,127.20,101.20,13.20,35.80,45.10,32.80,14.80
FORT NELSON A NORMALS,58.84,-122.60,381.90,21.50,14.90,18.80,18.90,49.00,63.00,78.40,71.30,40.20,32.60,25.60,18.00,21.50,14.90,18.80,18.90,49.00,63.00,78.40,71.30,40.20,32.60,25.60,18.00,21.50,14.90,18.80,18.90,49.00,63.00,78.40,71.30,40.20,32.60,25.60,18.00,21.50,14.90,18.80,18.90,49.00,63.00,78.40,71.30,40.20,32.60,25.60,18.00,21.50,14.90,18.80,18.90,49.00,63.00,78.40,71.30,40.20,32.60,25.60,18.00
FORT ST JOHN A,56.24,-120.74,694.90,23.20,0.80,34.20,9.80,46.50,14.30,36.00,45.40,43.00,35.70,15.30,41.60,58.90,31.00,47.40,47.30,12.80,176.50,144.90,19.70,26.10,9.40,51.40,13.40,34.40,9.30,18.80,42.20,49.20,84.50,22.10,23.00,2.60,146.50,52.30,45.00,20.20,9.60,23.40,28.90,28.90,117.30,95.40,13.50,28.60,11.90,51.00,134.80,23.40,32.20,32.50,45.00,12.60,37.20,39.40,3.00,39.70,53.30,56.30,33.20
FORT ST JOHN A NORMALS,56.24,-120.74,694.90,25.40,19.00,23.70,20.00,37.90,65.60,75.20,51.20,44.70,30.80,29.20,22.00,25.40,19.00,23.70,20.00,37.90,65.60,75.20,51.20,44.70,30.80,29.20,22.00,25.40,19.00,23.70,20.00,37.90,65.60,75.20,51.20,44.70,30.80,29.20,22.00,25.40,19.00,23.70,20.00,37.90,65.60,75.20,51.20,44.70,30.80,29.20,22.00,25.40,19.00,23.70,20.00,37.90,65.60,75.20,51.20,44.70,30.80,29.20,22.00
GOLDEN A,51.30,-116.98,784.90,23.60,1.60,21.80,13.80,17.20,45.60,11.40,41.60,57.20,12.70,49.60,44.40,75.20,46.80,48.40,21.40,53.60,45.20,68.80,21.80,31.60,65.20,99.40,23.60,50.00,20.00,69.60,48.80,13.40,110.00,66.80,21.60,22.20,82.00,87.80,49.20,31.80,12.80,30.40,11.80,28.60,31.00,10.00,33.60,58.40,8.00,71.00,28.20,37.60,28.40,58.20,25.20,86.00,51.40,25.20,46.60,48.00,48.80,106.20,34.60
GOLDEN A NORMALS,51.30,-116.98,784.90,45.90,24.10,24.40,24.40,34.50,49.70,50.60,45.30,38.00,34.90,51.10,43.90,45.90,24.10,24.40,24.40,34.50,49.70,50.60,45.30,38.00,34.90,51.10,43.90,45.90,24.10,24.40,24.40,34.50,49.70,50.60,45.30,38.00,34.90,51.10,43.90,45.90,24.10,24.40,24.40,34.50,49.70,50.60,45.30,38.00,34.90,51.10,43.90,45.90,24.10,24.40,24.40,34.50,49.70,50.60,45.30,38.00,34.90,51.10,43.90
GREEN ISLAND,54.57,-130.71,11.90,223.60,118.00,253.40,95.10,48.60,96.90,46.00,186.60,173.60,289.00,172.60,150.40,172.40,147.60,93.60,46.20,81.20,99.20,122.50,197.00,311.40,247.20,338.60,145.40,256.70,82.70,96.40,62.40,121.00,183.40,98.40,64.80,157.80,156.00,244.80,196.00,181.00,162.00,106.60,88.00,97.70,68.40,84.60,103.40,185.20,208.00,199.20,257.40,90.60,65.60,138.60,295.80,108.00,141.00,95.20,109.60,133.00,374.20,246.80,211.00
GREEN ISLAND NORMALS,54.57,-130.71,11.90,266.20,174.30,189.50,165.60,128.70,105.30,106.70,166.10,250.30,353.90,296.80,270.90,266.20,174.30,189.50,165.60,128.70,105.30,106.70,166.10,250.30,353.90,296.80,270.90,266.20,174.30,189.50,165.60,128.70,105.30,106.70,166.10,250.30,353.90,296.80,270.90,266.20,174.30,189.50,165.60,128.70,105.30,106.70,166.10,250.30,353.90,296.80,270.90,266.20,174.30,189.50,165.60,128.70,105.30,106.70,166.10,250.30,353.90,296.80,270.90
KAMLOOPS A,50.70,-120.44,345.30,17.40,11.40,20.60,13.80,54.60,36.30,14.80,15.40,55.00,5.80,21.30,11.20,25.00,16.50,30.00,11.60,53.60,21.50,39.20,0.20,7.20,13.40,11.70,4.20,14.80,25.50,6.30,25.40,8.30,74.40,49.20,10.00,7.80,16.90,20.70,36.40,21.60,1.00,18.70,21.80,49.40,42.30,1.20,15.60,24.80,6.40,40.90,21.40,8.80,3.80,17.70,12.20,41.20,31.40,30.50,51.10,22.20,12.60,21.10,25.00
KAMLOOPS A NORMALS,50.70,-120.44,345.30,21.10,12.40,12.80,14.20,27.30,37.40,31.40,23.70,29.40,19.40,23.30,25.40,21.10,12.40,12.80,14.20,27.30,37.40,31.40,23.70,29.40,19.40,23.30,25.40,21.10,12.40,12.80,14.20,27.30,37.40,31.40,23.70,29.40,19.40,23.30,25.40,21.10,12.40,12.80,14.20,27.30,37.40,31.40,23.70,29.40,19.40,23.30,25.40,21.10,12.40,12.80,14.20,27.30,37.40,31.40,23.70,29.40,19.40,23.30,25.40
MERRITT STP,50.11,-120.80,609.00,20.20,10.00,29.90,4.90,56.80,27.60,13.10,27.90,44.90,12.00,32.70,14.40,43.70,22.50,21.80,18.30,44.60,15.30,48.40,0.00,28.80,17.60,59.30,14.40,38.60,11.40,28.00,24.70,12.70,44.00,47.20,4.00,0.00,39.30,56.90,41.10,6.00,3.50,20.00,22.60,46.60,49.70,6.80,30.00,27.40,14.00,32.40,27.40,19.00,16.50,22.80,13.20,53.00,34.20,25.00,6.20,13.80,15.90,14.30,27.20
MERRITT STP NORMALS,50.11,-120.80,609.00,30.50,19.40,16.20,15.10,30.10,36.60,29.10,20.60,24.60,27.60,35.40,36.00,30.50,19.40,16.20,15.10,30.10,36.60,29.10,20.60,24.60,27.60,35.40,36.00,30.50,19.40,16.20,15.10,30.10,36.60,29.10,20.60,24.60,27.60,35.40,36.00,30.50,19.40,16.20,15.10,30.10,36.60,29.10,20.60,24.60,27.60,35.40,36.00,30.50,19.40,16.20,15.10,30.10,36.60,29.10,20.60,24.60,27.60,35.40,36.00
MISSION WEST ABBEY,49.15,-122.27,197.00,242.20,146.90,184.80,127.60,188.20,78.80,5.20,64.00,228.00,158.20,144.60,285.20,389.60,128.40,233.60,220.40,204.40,105.60,108.60,22.20,103.00,131.50,204.40,124.80,284.50,151.60,252.70,193.80,91.80,182.20,93.20,4.30,6.80,312.00,256.80,272.00,237.00,203.20,250.60,207.20,150.80,130.40,3.80,45.60,181.60,56.40,242.20,122.80,175.40,125.60,295.40,155.20,152.00,60.20,51.20,27.00,106.40,300.40,316.60,263.00
MISSION WEST ABBEY NORMALS,49.15,-122.27,197.00,253.40,160.60,168.60,151.70,129.90,107.50,70.70,62.50,88.80,190.00,288.60,211.20,253.40,160.60,168.60,151.70,129.90,107.50,70.70,62.50,88.80,190.00,288.60,211.20,253.40,160.60,168.60,151.70,129.90,107.50,70.70,62.50,88.80,190.00,288.60,211.20,253.40,160.60,168.60,151.70,129.90,107.50,70.70,62.50,88.80,190.00,288.60,211.20,253.40,160.60,168.60,151.70,129.90,107.50,70.70,62.50,88.80,190.00,288.60,211.20
NANAIMO A,49.05,-123.87,28.00,208.80,134.60,108.90,97.00,83.40,28.60,0.00,28.40,77.60,88.60,164.60,204.20,140.60,97.60,224.80,49.60,70.40,9.80,45.60,3.20,53.60,69.40,181.20,78.80,172.60,131.60,171.40,56.00,47.00,65.30,38.60,6.40,0.40,188.00,188.40,213.40,78.60,83.10,90.10,48.60,75.10,54.90,0.00,38.00,141.70,17.20,103.40,25.40,110.50,207.00,152.20,43.80,33.60,22.50,12.80,11.00,52.80,200.40,110.90,198.50
NANAIMO A NORMALS,49.05,-123.87,28.00,187.90,126.00,113.00,67.40,54.30,43.40,25.40,28.40,35.80,102.20,197.20,184.30,187.90,126.00,113.00,67.40,54.30,43.40,25.40,28.40,35.80,102.20,197.20,184.30,187.90,126.00,113.00,67.40,54.30,43.40,25.40,28.40,35.80,102.20,197.20,184.30,187.90,126.00,113.00,67.40,54.30,43.40,25.40,28.40,35.80,102.20,197.20,184.30,187.90,126.00,113.00,67.40,54.30,43.40,25.40,28.40,35.80,102.20,197.20,184.30
NOOTKA LIGHTSTATION,49.60,-126.62,15.80,405.90,233.80,342.60,268.80,122.40,91.60,1.20,25.20,228.60,458.70,345.60,486.50,491.50,355.00,324.40,260.00,212.40,81.60,81.20,112.00,274.60,273.20,453.80,305.20,596.20,290.60,428.00,237.40,135.60,233.00,65.60,36.00,29.20,429.40,441.20,396.80,209.20,456.40,235.60,265.20,200.00,112.40,0.60,128.20,266.60,122.90,274.00,211.60,275.60,234.20,374.80,313.50,85.20,94.40,123.20,22.40,108.40,512.80,388.20,274.40
NOOTKA LIGHTSTATION NORMALS,49.60,-126.62,15.80,471.60,325.40,314.20,264.60,169.00,147.30,79.40,99.40,145.40,355.50,480.20,427.70,471.60,325.40,314.20,264.60,169.00,147.30,79.40,99.40,145.40,355.50,480.20,427.70,471.60,325.40,314.20,264.60,169.00,147.30,79.40,99.40,145.40,355.50,480.20,427.70,471.60,325.40,314.20,264.60,169.00,147.30,79.40,99.40,145.40,355.50,480.20,427.70,471.60,325.40,314.20,264.60,169.00,147.30,79.40,99.40,145.40,355.50,480.20,427.70
PENTICTON A,49.46,-119.60,344.40,39.00,32.00,18.40,22.80,75.80,50.40,7.20,16.60,45.00,16.00,21.60,41.40,24.20,31.70,37.00,18.00,66.40,25.80,23.20,9.80,4.40,50.00,17.00,12.10,20.70,16.40,49.50,70.60,5.20,95.70,29.40,4.00,3.20,85.20,37.80,39.70,33.80,17.70,6.60,52.60,52.40,58.40,0.80,23.40,71.50,8.80,45.40,15.00,18.20,25.00,11.80,33.40,30.60,45.00,21.20,15.80,31.20,45.40,46.10,46.60
PENTICTON A NORMALS,49.46,-119.60,344.40,26.90,19.80,23.60,26.00,39.30,46.30,28.70,28.30,24.60,26.00,28.10,28.60,26.90,19.80,23.60,26.00,39.30,46.30,28.70,28.30,24.60,26.00,28.10,28.60,26.90,19.80,23.60,26.00,39.30,46.30,28.70,28.30,24.60,26.00,28.10,28.60,26.90,19.80,23.60,26.00,39.30,46.30,28.70,28.30,24.60,26.00,28.10,28.60,26.90,19.80,23.60,26.00,39.30,46.30,28.70,28.30,24.60,26.00,28.10,28.60
PRINCE GEORGE STP,53.88,-122.77,579.00,37.20,20.40,6.70,44.30,41.30,56.80,16.10,54.10,55.20,40.10,54.80,22.60,96.90,85.20,18.20,12.30,82.00,48.60,121.80,42.80,75.80,25.50,69.60,62.20,40.40,36.70,27.90,56.40,28.00,86.20,52.10,17.20,14.30,62.20,27.20,69.90,50.90,35.80,52.10,66.30,136.60,39.00,41.60,53.20,42.10,48.10,47.60,115.00,45.20,34.60,24.20,50.90,35.10,13.60,23.30,19.50,35.00,60.80,54.70,49.70
PRINCE GEORGE STP NORMALS,53.88,-122.77,579.00,54.40,29.00,27.40,32.80,42.40,61.30,58.90,45.90,53.70,60.50,47.70,44.10,54.40,29.00,27.40,32.80,42.40,61.30,58.90,45.90,53.70,60.50,47.70,44.10,54.40,29.00,27.40,32.80,42.40,61.30,58.90,45.90,53.70,60.50,47.70,44.10,54.40,29.00,27.40,32.80,42.40,61.30,58.90,45.90,53.70,60.50,47.70,44.10,54.40,29.00,27.40,32.80,42.40,61.30,58.90,45.90,53.70,60.50,47.70,44.10
PRINCETON A,49.47,-120.51,701.70,33.90,9.30,14.90,7.40,45.20,31.70,22.40,13.50,44.00,4.40,28.90,44.10,53.00,47.10,21.60,27.20,53.90,28.40,24.50,0.00,13.20,23.90,55.80,16.00,50.20,11.50,29.40,27.00,8.30,23.60,82.80,15.40,0.00,78.60,23.40,29.50,33.30,3.60,18.70,36.90,57.80,104.80,1.00,70.00,68.40,16.30,30.80,22.20,22.20,66.70,26.00,7.40,23.20,39.80,19.60,28.80,33.60,16.60,69.70,28.20
PRINCETON A NORMALS,49.47,-120.51,701.70,39.70,20.50,16.50,18.40,29.60,37.60,29.60,24.30,23.80,26.10,44.50,36.40,39.70,20.50,16.50,18.40,29.60,37.60,29.60,24.30,23.80,26.10,44.50,36.40,39.70,20.50,16.50,18.40,29.60,37.60,29.60,24.30,23.80,26.10,44.50,36.40,39.70,20.50,16.50,18.40,29.60,37.60,29.60,24.30,23.80,26.10,44.50,36.40,39.70,20.50,16.50,18.40,29.60,37.60,29.60,24.30,23.80,26.10,44.50,36.40
